ghatika||s,r2,m2,p,n2,s.|s.,n2,p,m2,r2,s|64
senagrani||s,r1,g2,r1,m1,g2,m1,d1,n1,s.|s.,n1,d1,p,m1,g2,r1,s|7
kokiladiptam||s,r1,g2,m2,p,d1,s.|s.,n1,d1,m2,g2,r1,s|43
ramacudamani||s,g3,m1,p,n3,s.|s.,n3,p,m1,g3,r2,s|27
binduherali||s,r1,g3,r1,g3,m1,p,d1,n3,d1,m1,p,d1,n3,s.|s.,n3,d1,p,m1,g3,r1,s|15
lavanya||s,g3,m1,p,d2,n2,s.|s.,d2,m1,p,g3,m1,r2,s|28
svarabharnam||s,g3,m2,p,d1,n1,s.|s.,n1,d1,p,m2,s|49
camuni||s,g3,m1,p,d1,s.|s.,d1,p,m1,g3,s|14
kanthiravam||s,r1,g3,p,d2,n3,s.|s.,n3,d2,p,m1,g3,r1,s|17
candrikam||s,g3,m2,d3,n3,s.|s.,n3,d3,m2,g3,s|66
janavarali||s,g3,r1,g3,m1,d1,n3,d1,s.|s.,n3,d1,p,m1,g3,m1,r1,g3,m1|15
megharanji||s,r1,g3,m1,n3,s.|s.,n3,m1,g3,r1,s|15
saikatashroni||s,r2,m2,p,d3,s.|s.,d3,p,m2,r2,s|66
harini||s,g3,m1,p,d2,n2,d2,s.|s.,n2,s,n2,d2,p,m1,g3,m1,g3|28
tindakam||s,g2,m2,d1,s.|s.,n3,p,m2,r1,s|45
binavikriam||s,r2,g3,m1,p,d2,s.|s.,n3,d2,p,r2,s|29
nandaherali||s,g3,m1,d2,n2,s.|s.,n2,d2,m1,g3,r2,s|28
shorattorasi||s,g3,p,d2,s.|s.,n3,p,m1,r2,s|29
anakadundubi||s,r1,g3,p,s.|s.,n2,p,m1,s|14
rasasindhu||s,r1,m1,p,n3,s.|s.,n3,d1,p,m1,g3,s|15
risabhavilasa||s,r2,m1,p,d1,s.|s.,d1,p,m1,r2,m1,r2,s|26
latantapriya||s,r1,m1,p,d1,s.|s.,d1,p,m1,r1,s|1
korkkai||s,r2,g2,m1,p,d2,s.|s.,n2,p,g2,r2,s|22
eraghatton||s,r2,g2,p,n3,s.|s.,n3,d2,p,m1,g2,r2,s|23
saravardhini||s,r1,g2,m2,d1,p,d1,n2,s.|s.,n2,p,m2,r1,m2,r1,s|44
kukuta||s,r1,g3,p,d1,n3,s.|s.,n3,d1,p,m1,g3,r1,s|15
sambandan||s,r1,m1,p,d1,s.|s.,n2,p,m1,g2,r1,s|8
nalinamukhi||s,m1,g3,m1,p,d2,n2,d2,s.|s.,n2,d2,p,m1,g3,m1,r3,s|34
pulasya||s,m2,p,d1,n3,s.|s.,n3,d1,p,m2,g3,r1,g3,s|51
bindukalanka||s,r1,g3,m1,p,d2,n2,s.|s.,n2,p,m1,g3,m1,r1,g3,r1,s|16
marubhi||s,g3,m1,p,n2,s.|s.,n2,d1,p,m1,g3,r2,s|26
malhar||s,n3,s,g2,r2,p,m1,n3,d2,n3,s.|s.,n3,d2,p,m1,g2,r2,s,n3,d2,s|23
rasikaranjani||s,r1,g3,p,s.|s.,d2,p,g3,r1,s|16
nagavaridhi||s,r3,g3,p,d2,s.|s.,n3,d2,p,m1,g3,m1,r3,s|35
citrappalavi||s,g3,p,d1,s.|s.,n2,p,m1,g3,r2,s|26
nigamasancari||s,g3,m2,p,d2,n2,s.|s.,n2,d2,n2,p,m2,r3,s|70
hasyabhusani||s,r2,g2,m1,d3,s.|s.,n3,d3,p,m1,g2,r2,s|24
adipucciyar||s,r2,g3,m2,p,d2,n2,s.|s.,n2,p,m2,g3,s|64
kusumacandrika||s,r3,m1,g3,m1,p,d1,n2,s.|s.,d1,p,m1,r3,s|32
kokilam||s,r2,g3,p,d2,n3,s.|s.,n3,d2,p,g3,r2,s|29
shilamban||s,g2,p,d1,n3,s.|s.,n3,d1,p,g2,s|9
sudhakambhoji||s,g3,r1,m1,p,n2,s.|s.,n2,p,m1,g3,r1,s|14
senapati||s,r1,g2,m1,p,n1,s.|s.,n1,d1,p,m1,g2,r1,s|7
vantanadharini||s,r2,m2,p,d2,s.|s.,d2,p,m2,r2,s|65
gangatarangini||s,r3,g3,m1,p,s.|s.,n3,d1,p,m1,r3,s|33
sarojam||s,g2,m1,d2,n3,s.|s.,n3,m1,r2,s|23
pratapasindhu||s,r2,g2,m1,p,d2,n2,s.|s.,n2,p,m1,r2,g2,r2,s|22
karnikabhusani||s,r1,g3,d2,n2,s.|s.,n2,d2,p,m1,g3,r1,s|16
rattumidhvani||s,g3,p,d2,s.|s.,d2,m2,r2,s|64
paraju||s,r1,g3,m1,p,d1,n3,s.|s.,n3,d1,p,m1,g3,r1,s|15
dhatuvardani|69|s,r3,g3,m2,p,d1,n3,s.|s.,n3,d1,p,m2,g3,r3,s|
kashyapi||s,r1,g2,p,d1,n2,s.|s.,d1,p,m1,g2,s|8
sukhadhvani||s,g3,m2,p,n3,d2,s.|s.,d2,n3,p,m2,g3,r1,s|53
vagadheeswari|34|s,r3,g3,m1,p,d2,n2,s.|s.,n2,d2,p,m1,g3,r3,s|
prashanti||s,g3,m1,g3,r2,s,p,n3,d2,s.|s.,d2,p,r2,p,m1,g3,r2,g3,r2,s|29
manivantam||s,r2,g3,m2,p,d1,n2,s.|s.,n2,p,d1,m2,g3,r2,s|62
bhramaravuttari||s,r2,g2,m2,p,d2,n2,s.|s.,d2,p,m2,r2,s|58
svarakesari||s,r2,g2,m2,p,d1,n2,s.|s.,d1,m2,g2,r2,s|56
bhosala||s,r2,p,d1,n2,s.|s.,d1,p,m1,r2,s|20
hamsaghantaravam||s,r2,g2,m1,g2,m1,p,n2,d1,n2,p,d1,n2,s.|s.,n2,d1,n2,p,n2,d1,m1,g2,r2,g2,m1,r2,g2,s|20
ayini||s,r2,g3,m2,p,d1,n2,s.|s.,n2,p,m2,g3,s|62
jalajamukhi||s,r3,g3,m2,p,d1,s.|s.,n2,d1,n2,p,m2,g3,r3,s|68
bhamagaula||d1,s,r1,g2,m1,p,d1,n1|d1,p,m1,g2,r1,s,n1,d1,p|7
kolaphani||s,r2,g3,m1,d3,p,n3,s.|s.,d3,m1,g3,r2,s|30
sayaka||s,r2,g2,m1,p,d2,n3,s.|s.,d2,m1,r2,s|23
malkali||s,g2,m1,p,p,g2,m1,n2,d1,s.|s.,g2,n2,s,s,n2,d1,m1,p,p,m1,p,g2,m1,s|20
maguduran||s,r2,m2,p,n2,s.|s.,d1,p,g3,s|62
ghananayaki||s,g3,m2,n3,d2,p,d2,n3,s.|s.,n3,d2,p,m2,g3,r2,s|65
